Time;Weather data, Rain
01-24-2019 08:55:11;-1
01-24-2019 18:51:43;0
01-29-2019 21:07:43;-1
01-29-2019 23:41:33;0
01-29-2019 23:49:29;-1
01-30-2019 04:14:31;0
01-30-2019 19:01:08;-1
01-30-2019 19:55:47;0
02-05-2019 09:00:34;-1
02-05-2019 09:11:17;0
02-06-2019 19:43:26;-1
02-21-2019 04:45:46;0
02-21-2019 04:46:34;-1
02-21-2019 05:06:23;0
02-21-2019 05:08:41;-1
02-21-2019 05:38:13;0
02-21-2019 08:35:05;-1
02-21-2019 14:53:44;-1
02-21-2019 15:45:44;0
02-24-2019 04:45:35;-1
02-24-2019 05:01:34;0
02-24-2019 05:02:21;-1
02-24-2019 14:45:28;0
02-24-2019 15:03:18;-1
02-24-2019 15:38:45;0
02-27-2019 21:43:22;-1
02-28-2019 05:02:06;0
02-28-2019 05:26:00;-1
02-28-2019 05:40:09;0
02-28-2019 05:41:52;-1
02-28-2019 05:59:59;0
02-28-2019 06:03:45;-1
02-28-2019 06:16:22;0
02-28-2019 06:41:24;-1
02-28-2019 06:55:43;0
02-28-2019 07:45:11;-1
02-28-2019 09:22:17;0
02-28-2019 09:27:40;-1
02-28-2019 09:38:31;0
02-28-2019 09:38:46;-1
02-28-2019 10:38:54;-1
02-28-2019 11:37:51;0
03-02-2019 07:10:07;-1
03-02-2019 12:07:39;0
03-02-2019 12:21:07;-1
03-02-2019 13:03:38;0
03-02-2019 13:28:38;-1
03-02-2019 14:11:12;0
03-03-2019 21:35:04;-1
03-04-2019 02:39:30;0
03-04-2019 07:48:46;-1
03-04-2019 07:58:54;0
03-04-2019 07:58:57;-1
03-04-2019 08:49:25;0
03-15-2019 09:34:32;-1
03-15-2019 09:58:10;0
03-15-2019 10:06:00;-1
03-15-2019 10:32:04;0
03-15-2019 12:04:37;-1
03-15-2019 17:26:25;0
03-15-2019 22:13:40;-1
03-15-2019 22:49:39;0
03-15-2019 23:08:46;-1
03-15-2019 23:29:21;0
03-15-2019 23:37:00;-1
03-15-2019 23:58:06;0
03-16-2019 00:00:40;-1
03-16-2019 00:13:01;0
03-16-2019 00:20:01;-1
03-16-2019 00:33:55;0
03-20-2019 15:05:49;0
