Time;Sun screening, Roof, Zone 31 - Rm. 3-2, South Office, Absolut position Sunscreening
09-02-2018 22:00:17;75
09-02-2018 22:00:19;81
09-02-2018 22:00:20;86
09-02-2018 22:00:21;93
09-02-2018 22:00:22;100
09-03-2018 00:00:02;97
09-03-2018 00:00:03;92
09-03-2018 00:00:04;87
09-03-2018 00:00:05;81
09-03-2018 00:00:06;75
09-03-2018 00:00:07;70
09-03-2018 00:00:08;65
09-03-2018 00:00:09;60
09-03-2018 00:00:10;54
09-03-2018 00:00:11;49
09-03-2018 00:00:12;44
09-03-2018 00:00:13;38
09-03-2018 00:00:14;33
09-03-2018 00:00:15;28
09-03-2018 00:00:16;22
09-03-2018 00:00:17;17
09-03-2018 00:00:19;12
09-03-2018 00:00:19;7
09-03-2018 00:00:21;2
09-03-2018 00:00:22;0
09-03-2018 10:21:51;4
09-03-2018 10:21:52;9
09-03-2018 10:21:53;15
09-03-2018 10:21:54;21
09-03-2018 10:21:55;26
09-03-2018 10:21:56;32
09-03-2018 10:21:57;37
09-03-2018 10:21:58;43
09-03-2018 10:21:59;48
09-03-2018 10:22:00;54
09-03-2018 10:22:01;59
09-03-2018 10:22:03;64
09-03-2018 10:22:04;70
09-03-2018 10:22:05;75
09-03-2018 10:22:06;80
09-03-2018 10:22:07;86
09-03-2018 10:22:08;91
09-03-2018 10:22:09;100
09-03-2018 17:31:40;96
09-03-2018 17:31:41;90
09-03-2018 17:31:42;84
09-03-2018 17:31:43;78
09-03-2018 17:31:44;73
09-03-2018 17:31:45;67
09-03-2018 17:31:46;61
09-03-2018 17:31:47;56
09-03-2018 17:31:48;50
09-03-2018 17:31:49;45
09-03-2018 17:31:50;39
09-03-2018 17:31:51;34
09-03-2018 17:31:53;28
09-03-2018 17:31:53;23
09-03-2018 17:31:55;17
09-03-2018 17:31:56;12
09-03-2018 17:31:57;7
09-03-2018 17:31:58;1
09-03-2018 17:31:59;0
09-03-2018 22:00:04;1
09-03-2018 22:00:06;7
09-03-2018 22:00:06;13
09-03-2018 22:00:08;19
09-03-2018 22:00:08;26
09-03-2018 22:00:10;31
09-03-2018 22:00:11;37
09-03-2018 22:00:12;43
09-03-2018 22:00:13;49
09-03-2018 22:00:14;55
09-03-2018 22:00:15;61
09-03-2018 22:00:16;67
09-03-2018 22:00:17;73
09-03-2018 22:00:19;79
09-03-2018 22:00:20;84
09-03-2018 22:00:21;90
09-03-2018 22:00:22;100
09-04-2018 00:00:02;96
09-04-2018 00:00:03;90
09-04-2018 00:00:04;84
09-04-2018 00:00:05;79
09-04-2018 00:00:06;74
09-04-2018 00:00:08;68
09-04-2018 00:00:09;63
09-04-2018 00:00:10;57
09-04-2018 00:00:11;51
09-04-2018 00:00:12;46
09-04-2018 00:00:13;41
09-04-2018 00:00:14;36
09-04-2018 00:00:15;30
09-04-2018 00:00:16;25
09-04-2018 00:00:17;20
09-04-2018 00:00:18;15
09-04-2018 00:00:19;10
09-04-2018 00:00:20;4
09-04-2018 00:00:21;0
09-04-2018 10:21:26;2
09-04-2018 10:21:27;8
09-04-2018 10:21:28;13
09-04-2018 10:21:29;19
09-04-2018 10:21:30;24
09-04-2018 10:21:31;30
09-04-2018 10:21:32;35
09-04-2018 10:21:33;41
09-04-2018 10:21:34;47
09-04-2018 10:21:35;52
09-04-2018 10:21:36;58
09-04-2018 10:21:37;63
09-04-2018 10:21:39;69
09-04-2018 10:21:40;74
09-04-2018 10:21:41;80
09-04-2018 10:21:42;85
09-04-2018 10:21:43;90
09-04-2018 10:21:44;100
09-04-2018 17:34:01;96
09-04-2018 17:34:02;90
09-04-2018 17:34:03;84
09-04-2018 17:34:04;79
09-04-2018 17:34:05;73
09-04-2018 17:34:06;67
09-04-2018 17:34:07;62
09-04-2018 17:34:08;56
09-04-2018 17:34:09;50
09-04-2018 17:34:10;45
09-04-2018 17:34:11;39
09-04-2018 17:34:12;34
09-04-2018 17:34:13;28
09-04-2018 17:34:14;23
09-04-2018 17:34:15;18
09-04-2018 17:34:16;12
09-04-2018 17:34:18;7
09-04-2018 17:34:19;1
09-04-2018 17:34:20;0
09-04-2018 22:00:04;4
09-04-2018 22:00:05;10
09-04-2018 22:00:06;16
09-04-2018 22:00:07;22
09-04-2018 22:00:08;28
09-04-2018 22:00:09;34
09-04-2018 22:00:11;40
09-04-2018 22:00:12;46
09-04-2018 22:00:13;52
09-04-2018 22:00:14;58
09-04-2018 22:00:15;64
09-04-2018 22:00:16;70
09-04-2018 22:00:18;75
09-04-2018 22:00:18;81
09-04-2018 22:00:20;87
09-04-2018 22:00:21;93
09-04-2018 22:00:22;100
09-05-2018 00:00:02;95
09-05-2018 00:00:03;90
09-05-2018 00:00:04;84
09-05-2018 00:00:05;78
09-05-2018 00:00:06;73
09-05-2018 00:00:08;67
09-05-2018 00:00:08;62
09-05-2018 00:00:10;57
09-05-2018 00:00:11;51
09-05-2018 00:00:12;46
09-05-2018 00:00:13;41
09-05-2018 00:00:14;35
09-05-2018 00:00:15;30
09-05-2018 00:00:16;25
09-05-2018 00:00:17;20
09-05-2018 00:00:18;14
09-05-2018 00:00:19;9
09-05-2018 00:00:20;4
09-05-2018 00:00:21;0
09-05-2018 10:22:57;3
09-05-2018 10:22:58;8
09-05-2018 10:22:59;14
09-05-2018 10:23:00;19
09-05-2018 10:23:01;25
09-05-2018 10:23:02;31
09-05-2018 10:23:03;36
09-05-2018 10:23:04;41
09-05-2018 10:23:05;47
09-05-2018 10:23:06;53
09-05-2018 10:23:07;58
09-05-2018 10:23:09;63
09-05-2018 10:23:10;69
09-05-2018 10:23:11;74
09-05-2018 10:23:12;79
09-05-2018 10:23:13;85
09-05-2018 10:23:14;90
09-05-2018 10:23:15;100
09-05-2018 17:28:33;94
09-05-2018 17:28:34;89
09-05-2018 17:28:35;83
09-05-2018 17:28:36;78
09-05-2018 17:28:37;72
09-05-2018 17:28:38;67
09-05-2018 17:28:39;61
09-05-2018 17:28:41;56
09-05-2018 17:28:42;51
09-05-2018 17:28:43;45
09-05-2018 17:28:44;40
09-05-2018 17:28:45;34
09-05-2018 17:28:46;29
09-05-2018 17:28:47;24
09-05-2018 17:28:48;19
09-05-2018 17:28:49;13
09-05-2018 17:28:50;8
09-05-2018 17:28:51;3
09-05-2018 17:28:52;0
09-05-2018 22:00:03;3
09-05-2018 22:00:04;9
09-05-2018 22:00:06;15
09-05-2018 22:00:07;20
09-05-2018 22:00:08;26
09-05-2018 22:00:09;32
09-05-2018 22:00:10;37
09-05-2018 22:00:11;43
09-05-2018 22:00:12;49
09-05-2018 22:00:13;54
09-05-2018 22:00:14;60
09-05-2018 22:00:16;66
09-05-2018 22:00:17;71
09-05-2018 22:00:18;77
09-05-2018 22:00:19;82
09-05-2018 22:00:20;88
09-05-2018 22:00:21;94
09-05-2018 22:00:22;100
09-06-2018 00:00:02;94
09-06-2018 00:00:03;89
09-06-2018 00:00:04;83
09-06-2018 00:00:05;78
09-06-2018 00:00:06;72
09-06-2018 00:00:08;67
09-06-2018 00:00:09;62
09-06-2018 00:00:10;56
09-06-2018 00:00:11;51
09-06-2018 00:00:12;46
09-06-2018 00:00:13;41
09-06-2018 00:00:14;35
09-06-2018 00:00:15;30
09-06-2018 00:00:16;25
09-06-2018 00:00:17;20
09-06-2018 00:00:18;15
09-06-2018 00:00:19;10
09-06-2018 00:00:20;4
09-06-2018 00:00:21;0
09-06-2018 10:11:41;4
09-06-2018 10:11:42;9
09-06-2018 10:11:43;15
09-06-2018 10:11:44;20
09-06-2018 10:11:45;25
09-06-2018 10:11:46;31
09-06-2018 10:11:47;36
09-06-2018 10:11:48;42
09-06-2018 10:11:49;47
09-06-2018 10:11:50;53
09-06-2018 10:11:51;58
09-06-2018 10:11:52;63
09-06-2018 10:11:53;69
09-06-2018 10:11:54;74
09-06-2018 10:11:56;80
09-06-2018 10:11:57;85
09-06-2018 10:11:58;90
09-06-2018 10:11:59;100
09-06-2018 16:03:58;97
09-06-2018 16:03:59;91
09-06-2018 16:04:00;86
09-06-2018 16:04:01;80
09-06-2018 16:04:02;75
09-06-2018 16:04:03;69
09-06-2018 16:04:04;63
09-06-2018 16:04:05;57
09-06-2018 16:04:06;52
09-06-2018 16:04:07;46
09-06-2018 16:04:08;41
09-06-2018 16:04:09;36
09-06-2018 16:04:10;30
09-06-2018 16:04:12;25
09-06-2018 16:04:13;20
09-06-2018 16:04:14;14
09-06-2018 16:04:15;9
09-06-2018 16:04:16;4
09-06-2018 16:04:17;0
09-06-2018 22:00:03;2
09-06-2018 22:00:04;7
09-06-2018 22:00:05;13
09-06-2018 22:00:07;19
09-06-2018 22:00:08;24
09-06-2018 22:00:09;30
09-06-2018 22:00:10;36
09-06-2018 22:00:11;41
09-06-2018 22:00:12;47
09-06-2018 22:00:13;52
09-06-2018 22:00:14;58
09-06-2018 22:00:15;63
09-06-2018 22:00:16;69
09-06-2018 22:00:17;75
09-06-2018 22:00:18;80
09-06-2018 22:00:19;85
09-06-2018 22:00:20;90
09-06-2018 22:00:22;100
09-07-2018 00:00:02;98
09-07-2018 00:00:03;93
09-07-2018 00:00:04;87
09-07-2018 00:00:05;82
09-07-2018 00:00:06;76
09-07-2018 00:00:07;71
09-07-2018 00:00:08;66
09-07-2018 00:00:09;60
09-07-2018 00:00:10;55
09-07-2018 00:00:11;49
09-07-2018 00:00:12;44
09-07-2018 00:00:13;39
09-07-2018 00:00:14;34
09-07-2018 00:00:15;28
09-07-2018 00:00:17;23
09-07-2018 00:00:18;18
09-07-2018 00:00:19;13
09-07-2018 00:00:20;8
09-07-2018 00:00:21;3
09-07-2018 00:00:22;0
09-07-2018 11:20:30;2
09-07-2018 11:20:31;8
09-07-2018 11:20:32;13
09-07-2018 11:20:33;18
09-07-2018 11:20:34;24
09-07-2018 11:20:35;29
09-07-2018 11:20:36;35
09-07-2018 11:20:37;40
09-07-2018 11:20:38;46
09-07-2018 11:20:39;51
09-07-2018 11:20:40;57
09-07-2018 11:20:41;62
09-07-2018 11:20:42;67
09-07-2018 11:20:44;73
09-07-2018 11:20:45;78
09-07-2018 11:20:46;84
09-07-2018 11:20:47;89
09-07-2018 11:20:48;94
09-07-2018 11:20:49;100
09-07-2018 11:40:07;96
09-07-2018 11:40:08;91
09-07-2018 11:40:09;85
09-07-2018 11:40:10;80
09-07-2018 11:40:11;75
09-07-2018 11:40:12;69
09-07-2018 11:40:13;64
09-07-2018 11:40:14;59
09-07-2018 11:40:15;54
09-07-2018 11:40:16;48
09-07-2018 11:40:17;43
09-07-2018 11:40:18;38
09-07-2018 11:40:19;32
09-07-2018 11:40:21;27
09-07-2018 11:40:22;22
09-07-2018 11:40:23;17
09-07-2018 11:40:24;11
09-07-2018 11:40:25;7
09-07-2018 11:40:26;1
09-07-2018 11:40:27;0
09-07-2018 13:32:15;1
09-07-2018 13:32:16;7
09-07-2018 13:32:17;12
09-07-2018 13:32:18;18
09-07-2018 13:32:19;23
09-07-2018 13:32:20;29
09-07-2018 13:32:21;34
09-07-2018 13:32:22;40
09-07-2018 13:32:23;45
09-07-2018 13:32:24;51
09-07-2018 13:32:25;56
09-07-2018 13:32:26;62
09-07-2018 13:32:27;67
09-07-2018 13:32:28;72
09-07-2018 13:32:30;78
09-07-2018 13:32:31;83
09-07-2018 13:32:32;88
09-07-2018 13:32:33;93
09-07-2018 13:32:34;100
09-07-2018 17:13:16;98
09-07-2018 17:13:17;92
09-07-2018 17:13:18;87
09-07-2018 17:13:19;81
09-07-2018 17:13:20;76
09-07-2018 17:13:21;70
09-07-2018 17:13:22;64
09-07-2018 17:13:23;58
09-07-2018 17:13:24;53
09-07-2018 17:13:26;47
09-07-2018 17:13:27;42
09-07-2018 17:13:28;37
09-07-2018 17:13:29;31
09-07-2018 17:13:30;26
09-07-2018 17:13:31;20
09-07-2018 17:13:32;15
09-07-2018 17:13:33;9
09-07-2018 17:13:34;4
09-07-2018 17:13:35;0
09-07-2018 22:00:03;1
09-07-2018 22:00:04;7
09-07-2018 22:00:05;13
09-07-2018 22:00:06;19
09-07-2018 22:00:07;24
09-07-2018 22:00:08;30
09-07-2018 22:00:09;36
09-07-2018 22:00:10;42
09-07-2018 22:00:11;47
09-07-2018 22:00:12;52
09-07-2018 22:00:14;58
09-07-2018 22:00:15;64
09-07-2018 22:00:16;69
09-07-2018 22:00:17;74
09-07-2018 22:00:18;80
09-07-2018 22:00:19;85
09-07-2018 22:00:20;90
09-07-2018 22:00:21;100
09-08-2018 00:00:02;97
09-08-2018 00:00:03;92
09-08-2018 00:00:04;87
09-08-2018 00:00:05;81
09-08-2018 00:00:06;76
09-08-2018 00:00:07;71
09-08-2018 00:00:08;65
09-08-2018 00:00:09;60
09-08-2018 00:00:10;54
09-08-2018 00:00:11;50
09-08-2018 00:00:12;44
09-08-2018 00:00:13;39
09-08-2018 00:00:14;34
09-08-2018 00:00:15;28
09-08-2018 00:00:16;23
09-08-2018 00:00:17;18
09-08-2018 00:00:18;13
09-08-2018 00:00:19;8
09-08-2018 00:00:20;3
09-08-2018 00:00:22;0
09-08-2018 10:28:25;4
09-08-2018 10:28:27;10
09-08-2018 10:28:28;15
09-08-2018 10:28:29;21
09-08-2018 10:28:30;26
09-08-2018 10:28:31;32
09-08-2018 10:28:32;37
09-08-2018 10:28:33;43
09-08-2018 10:28:34;48
