Time;Natural ventilation, Roof, Zone 31 - Rm. 3-2, South Office, Occupancy
10-22-2018 18:30:28;0
10-22-2018 21:08:40;-1
10-22-2018 21:15:00;0
10-23-2018 10:58:24;-1
10-23-2018 11:04:06;0
10-23-2018 12:57:56;-1
10-23-2018 13:11:01;0
10-23-2018 15:11:50;-1
10-23-2018 15:24:55;0
10-23-2018 15:32:28;-1
10-23-2018 16:17:49;0
10-23-2018 16:38:46;-1
10-23-2018 16:52:16;0
10-23-2018 17:12:39;-1
10-23-2018 17:18:48;0
10-23-2018 17:44:06;-1
10-23-2018 17:49:22;0
10-23-2018 18:45:23;-1
10-23-2018 18:55:12;0
10-24-2018 19:49:06;-1
10-24-2018 19:54:14;0
10-24-2018 19:57:52;-1
10-24-2018 20:03:11;0
10-24-2018 20:13:25;-1
10-24-2018 20:18:40;0
10-24-2018 21:58:25;-1
10-24-2018 22:03:48;0
10-24-2018 22:04:47;-1
10-24-2018 22:11:48;0
10-25-2018 01:11:24;-1
10-25-2018 01:17:28;0
10-25-2018 08:36:29;-1
10-25-2018 08:41:40;0
10-25-2018 09:58:25;-1
10-25-2018 10:03:31;0
10-25-2018 22:58:22;-1
10-25-2018 23:08:01;0
10-26-2018 15:42:26;-1
10-26-2018 15:44:22;-1
10-26-2018 15:47:29;0
10-26-2018 15:56:58;0
10-26-2018 17:13:13;-1
10-26-2018 17:18:32;0
10-29-2018 21:53:31;-1
10-29-2018 22:00:46;0
10-31-2018 08:59:25;-1
10-31-2018 09:08:34;0
10-31-2018 10:05:59;-1
10-31-2018 15:42:18;0
10-31-2018 22:27:16;-1
10-31-2018 22:34:40;0
11-01-2018 09:14:52;-1
11-01-2018 09:36:46;0
11-05-2018 15:31:20;-1
11-05-2018 15:36:36;0
11-06-2018 14:34:33;-1
11-06-2018 14:39:57;0
11-07-2018 07:21:20;-1
11-07-2018 07:27:53;0
11-07-2018 08:20:29;-1
11-07-2018 08:25:54;0
11-07-2018 21:14:11;-1
11-07-2018 21:19:51;0
11-08-2018 15:57:45;-1
11-08-2018 16:04:12;0
11-08-2018 21:26:03;-1
11-08-2018 21:31:37;0
11-09-2018 09:01:03;-1
11-09-2018 09:09:46;0
11-09-2018 10:26:29;-1
11-09-2018 10:34:49;0
11-09-2018 11:18:51;-1
11-09-2018 11:26:18;0
11-09-2018 15:33:11;-1
11-09-2018 15:57:17;0
11-09-2018 20:53:43;-1
11-09-2018 20:58:46;0
11-12-2018 07:40:34;-1
11-12-2018 07:45:35;0
11-12-2018 07:52:06;-1
11-12-2018 07:57:33;0
11-12-2018 08:00:14;-1
11-12-2018 08:14:21;0
11-12-2018 08:35:49;-1
11-12-2018 08:41:02;0
11-12-2018 08:53:03;-1
11-12-2018 08:59:51;0
11-12-2018 10:52:50;0
11-12-2018 10:59:30;-1
11-12-2018 11:12:07;0
11-12-2018 12:27:04;-1
11-12-2018 12:32:10;0
11-12-2018 13:45:20;-1
11-12-2018 13:52:32;0
11-12-2018 14:41:10;-1
11-12-2018 14:42:16;-1
11-12-2018 14:48:34;0
11-12-2018 15:05:29;-1
11-12-2018 15:18:56;0
11-12-2018 15:20:09;-1
11-12-2018 15:26:15;0
11-12-2018 15:27:14;-1
11-12-2018 15:34:56;0
11-12-2018 15:45:19;-1
11-12-2018 15:53:01;0
11-12-2018 23:14:24;-1
11-12-2018 23:26:49;0
11-13-2018 01:09:07;-1
11-13-2018 01:14:16;0
11-13-2018 11:19:29;0
